t,x,y,z,v1,v2,v3,q1,q2,q3,q0,w1,w2,w3,q1_lvlh,q2_lvlh,q3_lvlh,q0_lvlh,q1_b_lvlh,q2_b_lvlh,q3_b_lvlh,q0_b_lvlh,w1_b_lvlh,w2_b_lvlh,w3_b_lvlh,q1_b_lvlh_meas,q2_b_lvlh_meas,q3_b_lvlh_meas,q0_b_lvlh_meas,w1_b_lvlh_meas,w2_b_lvlh_meas,w3_b_lvlh_meas,q1_mekf,q2_mekf,q3_mekf,q0_mekf,w1_mekf,w2_mekf,w3_mekf,u1,u2,u3
0.0,-5377071.047214739,0.0,4602737.332632074,0.0,7504.3,0.0,0.7231846767268292,0.488861535969063,-0.18104719265446112,-0.4530344755417831,0.0,0.0,0.0,0.6423176473048824,0.6423176473048824,0.29568232946985656,0.29568232946985656,0.24398744374898151,0.7656624929100052,-0.07008805509031894,0.5910319270372204,-0.00048396545952496,-0.0009235818980513021,-0.00019198746255434654,0.12911710257920556,0.8010489901965367,-0.0651929383013332,0.580860714734865,0.00301603454047504,-0.002673581898051302,0.0024080125374456533,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
0.1,-5377071.0169933075,750.4299985940879,4602737.306762727,0.6044286371173718,7504.2999578226345,-0.5173869246926001,0.7231849180109555,0.4888618482322095,-0.18104679597376147,-0.4530339119449127,-0.00001065753240649368,-0.000029901760845850723,1.2078803353250729e-6,0.6423333209495743,0.6423019718551408,0.2956482788684744,0.29571637924030847,0.24403852455143543,0.7656497966861039,-0.07009065103664729,0.5910269773932026,-0.0004947018722182308,-0.0009534300268917872,-0.00019083871065163734,0.22340881065841983,0.808424077354098,-0.15784745011241416,0.5211748238042344,0.0030052981277817695,-0.002703430026891787,0.0024091612893483625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
0.5011494507502552,-5377070.288201162,3760.7756463113105,4602736.68292146,3.029090658239655,7504.298940712231,-2.592881614206785,0.7231907364509063,0.48886937839558,-0.18103722995141106,-0.453020320681352,-0.000053410043772024625,-0.00014985252379159326,6.053386104760783e-6,0.6423961775443006,0.6422390717315063,0.2955116767176411,0.2958529613531915,0.24424085113936356,0.7655897351723951,-0.0701011333078694,0.5910199617122365,-0.0005377638544983499,-0.0010731681897141235,-0.00018623504645484524,0.17670560829370144,0.7833210261015721,-0.029344620409205366,0.5952496882130832,0.0029622361455016503,-0.0028231681897141238,0.002413764953545155,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
1.6257086449913154,-5377063.059908048,12199.799343922114,4602730.495550255,9.826243759400725,7504.28885282618,-8.411199813765531,0.723248429960297,0.48894405478425074,-0.18094234874574242,-0.45288551122935605,-0.0001732578537600585,-0.0004861159909572573,0.000019639765807510856,0.6425722312117885,0.6420625863363055,0.29512866291755513,0.2962357764132048,0.24478599607963786,0.7653434351914501,-0.07013098706639634,0.5911098772527349,-0.0006584195941274722,-0.0014088574857592582,-0.00017336669432670165,0.21100568931138416,0.7247815445869392,-0.11301582025861232,0.6460617122811654,0.002841580405872528,-0.0031588574857592585,0.0024266333056732984,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
2.864655693382789,-5377046.246764465,21497.202669561404,4602716.1036103,17.314772777929957,7504.265388216492,-14.821331236138498,0.723382522242712,0.4891176889458721,-0.1807216278928058,-0.45257187946866045,-0.00030528961436862556,-0.0008565851272960126,0.00003461839754059554,0.6427659283073232,0.6418678850335579,0.294706568313679,0.29665740874373503,0.2453489641253613,0.764939026899591,-0.07016432855649263,0.591395923157013,-0.0007912389382209559,-0.0017787316047397136,-0.00015924857485270514,0.21764852738274612,0.7309923821005134,-0.046568702503343815,0.64506636231189,0.002708761061779044,-0.0035287316047397134,0.0024407514251472947,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
4.109113988595218,-5377020.018958386,30835.926560213156,4602693.652781375,24.836583158934285,7504.228784399389,-21.259951285163396,0.7235914108229056,0.4893883705950408,-0.18037724188547807,-0.452082452125092,-0.0004378972966739716,-0.0012287052152423039,0.00004968214243350975,0.6429602079121433,0.6416720389056023,0.29428246811791814,0.29708078781154346,0.2458746836529769,0.7643922067219314,-0.07019780072818123,0.5918804465550889,-0.0009245283517842994,-0.0021502941308522284,-0.00014512381493546128,0.27627667779738946,0.7643271750145579,-0.06803866710069735,0.578658713421533,0.002575471648215701,-0.0039002941308522287,0.0024548761850645387,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
5.353284108080895,-5376984.439923168,40172.434248050355,4602663.197362016,32.356608514754015,7504.179129903169,-27.69704336440982,0.7238742118799092,0.48975520884705537,-0.17990993177747136,-0.4514181844257533,-0.0005704583848459308,-0.0016007434192040427,0.00006476882448521785,0.6431541628019668,0.6414759589633927,0.2938583380993315,0.2975039395907149,0.2463603665190474,0.7637043112631882,-0.07023071892272967,0.5925621831387966,-0.001057660149512664,-0.00252181559456148,-0.00013105191621210575,0.16415254872569143,0.7404638630969046,-0.0753650362447304,0.6473695385993219,0.002442339850487336,-0.00427181559456148,0.002468948083787894,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
6.595259990632375,-5376939.592214882,49492.40622478944,4602624.808019676,39.86331529676736,7504.116539944,-34.12273483236846,0.7242297594447153,0.4902170340795526,-0.1793206587745136,-0.4505803106767665,-0.0007027653707602617,-0.001972131066784624,0.0000798631424602743,0.6433474965916078,0.6412799465202386,0.29343482858943487,0.29792621601832914,0.24680525281094678,0.7628763557566878,-0.07026248883682279,0.5934391423514093,-0.001190424859129547,-0.0028927285435745914,-0.0001170474548438357,0.23304861474224897,0.760330498942856,-0.05046410208872552,0.6041847812916225,0.002309575140870453,-0.004642728543574591,0.002482952545156164,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
7.838864341048785,-5376885.344250929,58824.51247579197,4602578.372120519,47.379795545818546,7504.040830883748,-40.556792323615475,0.7246584509275629,0.4907747974715597,-0.1786075388585576,-0.4495659848441651,-0.0008352210018411957,-0.002344012563690314,0.00009501942717796972,0.6435408044540163,0.6410833985405637,0.2930106363302835,0.29834891673287633,0.24721055565892108,0.7619052916845604,-0.07029264497831425,0.5945134243529123,-0.0013232251677113675,-0.003264176481902296,-0.00010306028383111076,0.21697641890043268,0.7889714886278648,-0.0646995704396945,0.5711910270289571,0.0021767748322886324,-0.005014176481902296,0.002496939716168889,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
9.082175620131347,-5376821.764897542,68154.31726973037,4602523.948613586,54.89442210224116,7503.9520988328895,-46.98926306620513,0.7251589588502251,0.4914273006058836,-0.17777129044808732,-0.44837602624459677,-0.0009676160535543977,-0.00271581462730564,0.00011022222104902526,0.6437337871679667,0.6408866183545985,0.29258641673595714,0.298771388211802,0.2475753521133573,0.7607916594022193,-0.07032055593247036,0.5957831110591459,-0.0014558494641409873,-0.003635587489015674,-0.00008910488159392425,0.18417065659651427,0.762728133845849,-0.14480830427108232,0.6027914383125997,0.0020441505358590128,-0.005385587489015674,0.0025108951184060757,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2674384127958062,-0.6897400812437906,0.036444241987781
10.0,-5376768.835726561,75041.5940957146,4602478.64159251,60.441731449120596,7503.8782302947375,-51.73772325993207,0.7255740417415262,0.49196951113507664,-0.17707474321734534,-0.44738444919207054,-0.0010653298552634359,-0.002990288535173259,0.00012148181890126085,0.6438760694593576,0.6407411746974611,0.2922731721824096,0.29908317747295304,0.24781856196416752,0.7598774586231152,-0.0703393734131596,0.5968455250484279,-0.0015536574497452076,-0.0039098003016427045,-0.00007881682310910453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
11.248593022361137,-5376688.657415448,84410.81560558264,4602410.0094873,67.98810592598032,7503.76633255435,-58.19737001290846,0.7262033691502111,0.49278415426770644,-0.176013646533809,-0.4458829893272644,-0.0011922093232055906,-0.0033671923843434514,0.00011120074238953757,0.6440693831929427,0.6405430720403764,0.29184692842903515,0.2995072167095095,0.24812086809815992,0.7585048936953794,-0.07036512721740426,0.5984606168546579,-0.0016805754480983279,-0.004286378556203882,-0.00009049354041771567,0.1921267384005785,0.7764436385368513,-0.08061735575928078,0.5947465296389676,0.0018194245519016722,-0.006036378556203882,0.002509506459582284,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
12.493076615060753,-5376599.3671789365,93749.05350433917,4602333.57763408,75.50952486818368,7503.6417181098,-64.63565499290284,0.7269065104859815,0.49367957184278094,-0.174821137569438,-0.44421275895358237,-0.0013186670931451183,-0.003742856381619013,0.00010102403000981051,0.6442617799027736,0.6403453421451666,0.2914219603195859,0.2999297297584713,0.24839520624142447,0.7569858491974712,-0.07039302204167115,0.6002641652463591,-0.0018069789653379275,-0.004661745393119428,-0.00010215021594341413,0.24324631349325232,0.7709545501252446,-0.034738587359873264,0.587582796856212,0.0016930210346620725,-0.006411745393119428,0.0024978497840565856,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
13.737253501848658,-5376500.742206154,103084.826824917,4602249.155308214,83.0289587329882,7503.504076003763,-71.07224075974355,0.7276839379117752,0.49465721310162897,-0.1734940300644607,-0.4423687936142631,-0.0014450925407469872,-0.004118427622648032,0.0000909278426032553,0.6444538488983729,0.6401473823872482,0.2909969701561741,0.30035200818831614,0.24864210427137548,0.7553152292014573,-0.07042252489593273,0.6022596421039181,-0.0019332554462626246,-0.005037047607446103,-0.00011381486277948049,0.21274950803415912,0.7765353795801481,0.008368444367162033,0.5930096291211618,0.0015667445537373755,-0.006787047607446103,0.0024861851372205194,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
14.979213958844108,-5376392.962495065,112403.79011574977,4602156.896586771,90.5348530759349,7503.353657443393,-77.4972367852225,0.7285328281455904,0.4957143975793154,-0.172034488399037,-0.4403535955888777,-0.0015712944971270992,-0.00449332884520917,0.00008093503840250939,0.6446452961361805,0.6399494975536721,0.2905726108384894,0.30077340404497643,0.24886076156516956,0.753494678712537,-0.07045296742317819,0.6044422800287637,-0.0020592118519954655,-0.005411709067227177,-0.00012546190155478937,0.36479486572532294,0.7541436587840454,-0.006180451923628524,0.5460346599532709,0.0014407881480045345,-0.0071617090672271766,0.0024745380984452104,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
16.220857842574315,-5376275.891892867,121720.18320439315,4602056.684923849,98.03867726735602,7503.19027241233,-83.92046077465668,0.7294527192286895,0.49685147592920653,-0.17044038732392025,-0.43816368590484667,-0.0016974688364657037,-0.004868132775928049,0.00007103765401168806,0.6448364152496462,0.6397513858704048,0.29014823378401905,0.3011945621635565,0.2490510407059452,0.7515203745373967,-0.07048376166523215,0.6068135999794207,-0.0021850414572838397,-0.005786302898178816,-0.00013710133857229118,0.21099672770119832,0.7631500118636787,0.003974345133167356,0.6107918179483293,0.0013149585427161604,-0.007536302898178816,0.002462898661427709,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
17.462181023985213,-5376149.538164748,131033.95912055162,4601948.526966399,105.5403934753528,7503.013931747757,-90.34188034419039,0.7304418799906328,0.4980672746866838,-0.16871151031720574,-0.43579820574255296,-0.0018236179023696734,-0.005242837414346361,0.00006124322640054634,0.6450272057354576,0.639553048295511,0.2897238406847247,0.30161548106143343,0.24921235348792936,0.7493908125231181,-0.07051426190496746,0.6093720963770475,-0.0023107440292679223,-0.00616082798317288,-0.00014872516702572682,0.1582936150686824,0.7718773843448139,-0.03989514970371551,0.6144565175792557,0.0011892559707320778,-0.00791082798317288,0.002451274832974273,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
18.707029528759108,-5376013.473947618,140373.9579567515,4601832.056894436,113.06323075240539,7502.824039017004,-96.78137940945601,0.7315018240112524,0.4993646609447323,-0.16684162950939055,-0.43324806696675405,-0.0019501352947586881,-0.005618602965958859,0.00005152941268978751,0.6452182575595535,0.6393538693267087,0.2892981163295291,0.3020374641943712,0.24934442167280257,0.7470970291520557,-0.07054389820174342,0.6121249438140426,-0.0024367085859148432,-0.0065364450520002,-0.00016036115251802675,0.23286842588996137,0.787684573972199,0.0017979738303314438,0.5703701214473694,0.0010632914140851569,-0.008286445052000201,0.002439638847481973,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
19.947748229285324,-5375868.54300349,149682.7279126709,4601707.996962674,120.56091494445076,7502.621771783695,-103.19934759994295,0.7326240307059321,0.5007343048355822,-0.16484197840208228,-0.4305279407303606,-0.002076245640496663,-0.00599311796145897,0.00004196345566977138,0.6454083959807843,0.639155074092723,0.2888736789628144,0.3024579165132332,0.24944573782661944,0.744651368341149,-0.07057181333782261,0.6150534795202911,-0.002562160302542235,-0.006910844536062738,-0.00017192939057460402,0.30550603919716024,0.7845765464473219,-0.10382184322520932,0.529458900811191,0.0009378396974577649,-0.008660844536062738,0.002428070609425396,0.062250922485113595,0.3639366078189161,-0.2598981581155722,0.89226000445338,0.0019463425502547925,-0.005659800301642704,0.0025211831768908954,-0.2553602266554543,-0.6962052896225538,-0.027249982606386315
20.0,-5375862.235232854,150074.7529553581,4601702.597552636,120.87666879585757,7502.6129685890255,-103.46963081305863,0.7326727017707781,0.5007936430618575,-0.16475478040780422,-0.43040945793689905,-0.002081556982586084,-0.0060088902322028015,0.00004156324023068388,0.6454163973660048,0.639146695939231,0.288855801414975,0.3024756206208431,0.24944932926595498,0.7445448481939781,-0.0705729431580348,0.615180835893481,-0.002567441504031382,-0.006926612669327904,-0.00017241581111870376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.022218270446207302,0.7283099397909879,-0.1279919987178817,0.6728216913300494,0.2924338876829906,0.9849703347399175,0.2396354443619152,-0.2544357695455518,-0.6759555856400856,0.0375516473532112
21.243879858962444,-5375707.204302503,159406.96890442807,4601569.892099318,128.39323740045626,7502.396605702907,-109.90376393607124,0.7338595563346011,0.5022497414528172,-0.16261352332729717,-0.42749525239242653,-0.0022075123844466447,-0.006373412302635076,0.00005810244623878891,0.6456067281689067,0.6389471049780064,0.28843015193117244,0.3028970073147385,0.24951226541300975,0.7419284055997288,-0.07059425564474622,0.6183060095476167,-0.002692607575259587,-0.007291061771958154,-0.00015797018391270089,0.2545481880049747,0.7259331994801187,-0.14716723122261283,0.6217459416274734,0.0008073924247404131,-0.009041061771958155,0.002442029816087299,0.022218270446207302,0.7283099397909879,-0.1279919987178817,0.6728216913300494,0.2924338876829906,0.9849703347399175,0.2396354443619152,-0.2544357695455518,-0.6759555856400856,0.0375516473532112
22.485507482059393,-5375543.129886495,168722.0109582172,4601429.445481957,135.89597341022525,7502.167621627889,-116.32605644919222,0.7350963578922464,0.5037858939205881,-0.16035099509226086,-0.42440626299942275,-0.002333188162449414,-0.006737288610843989,0.00007474060754493054,0.6457964343965465,0.638747598342552,0.2880051480802156,0.30331749967916766,0.24953089669338624,0.7391611952205499,-0.07060397344196814,0.6216028780578111,-0.0028173548030678967,-0.007654915454991312,-0.00014349988643316494,0.2983756091647852,0.7629016711312833,-0.05988299459076405,0.5704095572476904,0.0006826451969321034,-0.009404915454991312,0.002456500113566835,0.022218270446207302,0.7283099397909879,-0.1279919987178817,0.6728216913300494,0.2924338876829906,0.9849703347399175,0.2396354443619152,-0.2544357695455518,-0.6759555856400856,0.0375516473532112
